1.8e-07,3.6e-07,5.4e-07,0.037794,0.081196,0.81281,1.0113,1.0399,1.0535,1.1423,1.2505,1.7185,1.7185,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187,1.8187
1.8e-07,3.6e-07,5.4e-07,0.10702,0.1303,0.14815,0.42324,0.53507,0.53983,0.61679,0.77627,1.1967,1.1967,9.0346,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437,9.1437
1.8e-07,3.6e-07,5.4e-07,0.065966,0.069905,0.16845,0.5536,1.4744,1.485,1.485,2.6016,4.042,4.0573,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074,4.1074
1.8e-07,3.6e-07,5.4e-07,0.022957,0.5794,0.61063,1.104,1.1694,1.233,1.321,1.4815,2.592,2.7939,3.7913,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,4.3024,5.0742,5.0742,4.7451,4.7451,4.7451,4.7451,4.9612,6.133,6.133,6.133,6.133,6.133,5.06,5.06,5.06,5.06,4.4774,4.4774,4.4774,4.4774,4.4774,4.4774,4.4774,4.4774,4.4774,4.4774,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.6863,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257,4.9257
1.8e-07,3.6e-07,5.4e-07,0.038106,0.050787,0.066769,0.084184,0.096165,1.31,1.3236,1.7245,1.7245,1.7801,1.8298,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284,2.9284
1.8e-07,3.6e-07,5.4e-07,0.0082458,0.054751,0.323,0.4781,0.73122,0.73122,0.90946,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529,0.94529
1.8e-07,3.6e-07,5.4e-07,0.0086979,0.034594,0.056299,0.091396,0.15831,0.24147,0.53048,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517,1.0517
1.8e-07,3.6e-07,5.4e-07,0.088717,0.09231,0.20554,0.2956,0.31423,0.81862,0.92212,3.8539,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823,4.1823
1.8e-07,3.6e-07,5.4e-07,0.025245,0.13393,0.13895,0.20069,0.27824,0.38704,0.59496,0.74363,0.94597,1.044,1.5185,1.5185,1.5185,1.5185,1.5185,1.5185,1.4583,1.295,2.0919,2.0919,2.0872,2.0872,1.9379,1.9379,2.0191,2.0191,1.6704,1.9163,7.8097,7.8097,7.8097,3.1943,3.1539,3.1801,3.1801,3.1427,3.1427,3.1427,3.1427,3.1427,3.1427,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7444,2.7444,2.7444,2.7444,2.7444,2.7444,2.2644,2.2644,2.2644,2.2644,2.2644,2.2644,2.2644,2.2644,2.2644,2.1765,2.1765,2.1765,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335
1.8e-07,3.6e-07,5.4e-07,0.13178,0.1481,0.33633,0.51405,0.93439,0.9851,1.1975,3.8294,6.7764,6.8579,7.0382,8.7319,8.7319,8.7319,8.7319,8.7319,8.6161,8.6161,8.6161,8.6161,7.0587,7.0587,7.0587,7.0587,7.0587,7.0587,7.0587,7.0587,7.6914,7.6914,7.6914,7.6914,7.6914,7.6914,7.6914,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925,5.2925
