0,50,0
0,-0,50
50,0,0
0,-0,50
0,0,50
-0,50,0
-0,-0,50
50,-0,0
0,50,0
-0,-0,50
-0,50,0
0,-0,50
50,0,-0
-0,50,-0
50,0,0
0,50,0
0,50,-0
50,0,0
-0,-0,50
50,-0,0
50,0,-0
0,50,-0
50,-0,0
0,-0,50
-0,50,-0
50,0,-0
0,-0,50
50,-0,0
50,0,-0
0,-0,50
0,50,0
0,-0,50
-0,5.5511e-15,50
0,-0,50
50,0,-0
-0,50,5.5511e-15
50,-0,-0
0,50,0
-0,-0,50
0,5.5511e-15,50
0,0,50
50,-0,-0
-0,50,-0
0,50,0
50,0,0
50,0,-0
0,50,0
0,50,0
0,0,50
50,-0,0
-0,50,0
50,-0,0
-0,50,0
-0,0,50
50,0,0
-0,50,0
-0,0,50
0,50,0
-0,0,50
50,0,-0
0,50,0
0,-0,50
0,50,0
50,0,-0
-6.9389e-16,-1.0408e-15,50
50,0,-6.9389e-16
-0,50,0
0,0,50
0,50,-1.0408e-15
50,0,0
0,0,50
-0,50,-0
50,-0,-0
0,0,50
0,50,-0
50,-0,0
-0,-3.4694e-16,50
0,50,-0
50,-0,0
0,50,-0
-0,-0,50
0,50,-0
50,0,-0
-0,0,50
50,-0,0
0,-0,50
50,-0,0
-0,50,0
-0,-0,50
50,0,0
-0,50,-0
-0,0,50
50,-0,-0
0,50,-0
0,50,0
-0,50,-0
-0,50,-0
50,-0,0
-0,-0,50
50,0,0
50,-0,-0
0,50,0
50,0,-0
0,0,50
-0,50,-0
50,0,0
0,-0,50
50,0,-0
0,0,50
-0,0,50
0,50,0
-0,0,50
50,0,-0
-0,50,0
0,-0,50
50,-0,-0
-0,50,0
0,-0,50
50,-0,0
-0,0,50
50,0,0
-0,50,0
-0,-0,50
0,50,-0
0,50,0
-0,-0,50
0,50,0
-0,-0,50
0,50,0
0,0,50
50,-0,-0
-0,50,-0
-0,0,50
50,0,-0
-0,50,0
0,0,50
50,-0,0
-0,50,-0
-0,-0,50
50,-0,-0
0,50,0
0,-0,50
50,-0,0
0,-0,50
-0,50,-2.7756e-14
-0,-1.1102e-14,50
-1.1189e-13,50,-0
50,-2.7756e-15,0
0,-0,50
-0,50,-2.2898e-14
50,-1.0079e-13,0
-0,50,-0
0,50,0
50,-0,0
-0,-0,50
50,0,-0
0,-0,50
-0,50,-0
50,-0,0
50,-0,-0
50,-0,0
-0,0,50
-0,50,-0
-0,0,50
0,-0,50
50,0,-0
-0,0,50
-0,50,0
50,0,0
0,50,-0
50,0,0
0,0,50
0,0,50
50,-0,0
0,50,0
-0,50,0
-0,50,-0
50,-0,0
-0,1.6653e-14,50
50,-0,0
50,5.5511e-15,-0
0,-0,50
-2.949e-15,50,2.2204e-14
-0,0,50
-0,50,-0
50,1.1102e-14,0
-0,50,-0
-0,50,0
50,9.0206e-15,-0
-8.6736e-17,-0,50
50,-0,0
0,-0,50
50,-0,0
-0,50,0
50,0,0
0,50,0
0,0,50
50,-0,0
0,50,-0
50,0,0
50,-0,0
0,50,-0
0,-0,50
0,50,0
-0,0,50
0,0,50
0,50,0
0,0,50
0,50,0
0,-0,50
50,0,-0
3.4694e-16,0,50
50,0,0
-0,50,0
-0,0,50
0,50,0
0,50,0
-0,0,50
0,50,0
0,0,50
50,0,-0
0,0,50
50,-0,0
0,0,50
0,50,-0
0,0,50
-0,50,0
50,0,0
0,-0,50
50,-0,0
50,-0,-0
0,50,-0
0,-0,50
-0,-0,50
-0,50,0
50,0,0
0,0,50
0,0,50
50,-0,0
0,-0,50
-0,0,50
-0,50,0
50,0,0
50,0,-0
0,50,-0
0,-0,50
50,-0,-0
0,50,-0
0,-0,50
50,-0,0
0,0,50
50,-0,0
-0,50,0
0,-0,50
50,-0,0
-0,0,50
-0,50,0
-0,0,50
0,50,-0
-0,-0,50
-0,0,50
0,50,0
50,-0,0
50,0,-0
-0,50,-0
50,0,0
0,0,50
-0,-0,50
0,-0,50
0,50,-0
50,0,0
50,-0,-0
0,0,50
50,0,0
-0,0,50
0,50,-0
50,-0,0
0,0,50
0,50,0
50,0,0
0,0,50
0,50,0
50,0,0
0,50,0
50,-0,0
0,0,50
0,50,0
0,0,50
0,0,50
0,50,-0
50,-0,0
0,50,-0
50,0,-0
0,-0,50
0,50,-0
0,0,50
0,50,0
50,0,0
-0,-0,50
0,50,0
50,0,0
0,50,-0
50,0,0
0,0,50
50,1.1102e-14,-0
-0,50,-3.3307e-14
0,-0,50
50,-0,-0
0,-1.1102e-14,50
50,0,-0
-0,50,0
-0,-0,50
50,0,-9.4369e-14
-0,50,0
-0,0,50
50,-0,0
-0,50,0
-0,0,50
0,50,0
-0,0,50
