0,7.7716e-15,0,70,0
0,70,0,3.8858e-15,0
0,-0,-0,-0,70
-0,-0,0,70,0
-0,-0,0,0,70
70,-0,0,-0,0
0,0,70,-0,-0
70,0,-0,-0,-0
-0,0,70,-0,-0
-0,0,-0,70,-0
0,-0,0,-0,70
-0,70,-0,-0,-0
-0,0,-0,-0,70
-0,70,-0,-0,-0
0,-0,70,-0,0
70,0,0,-0,-0
0,70,7.7716e-15,-0,-0
-0,-0,0,-0,70
-0,-0,70,0,-0
-0,-0,0,-0,70
0,5.8287e-15,70,-0,0
-0,-0,-0,70,0
70,-0,0,-0,0
-0,-0,70,-0,-0
7.7716e-15,70,-0,0,0
-0,0,-0,0,70
0,70,-0,0,-0
0,-0,-0,-0,70
7.7716e-15,7.7716e-15,-0,70,3.8858e-15
70,7.7716e-15,-0,0,0
0,-0,70,-0,0
0,-0,-0,70,-0
0,0,70,0,0
0,70,0,0,0
0,0,0,0,70
70,0,0,0,0
0,0,0,70,0
70,0,0,0,0
0,0,70,0,0
0,0,0,70,0
0,0,0,0,70
0,70,0,0,0
0,0,0,0,70
0,70,0,0,0
0,0,70,0,0
0,0,0,70,0
70,0,0,0,0
0,0,70,0,0
70,0,0,0,0
0,0,70,0,0
0,0,0,0,70
70,0,0,0,0
0,0,0,70,0
0,70,0,0,0
0,0,0,70,0
0,70,0,0,0
0,0,70,0,0
0,0,0,0,70
70,0,0,0,0
0,0,70,0,0
70,0,0,0,0
0,0,0,70,0
0,70,0,0,0
0,0,0,0,70
0,70,-0,0,0
0,0,0,70,0
-0,0,70,-0,-0
-0,70,0,-0,-0
-0,0,70,0,7.7716e-15
70,-0,0,0,0
0,-0,0,-0,70
70,0,-0,-0,-0
-0,0,7.7716e-15,-0,70
0,70,-0,-0,0
0,0,70,-0,0
0,70,-0,-0,-0
-0,0,-0,70,7.7716e-15
70,0,0,0,0
0,0,0,70,0
0,0,-0,-0,70
