40,0,0,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,0,0,40,,TRUE
40,0,0,0,0,,TRUE
0,0,40,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,40,0,0,,TRUE
0,0,0,40,0,,TRUE
0,40,0,0,0,,TRUE
0,0,0,0,40,,TRUE
40,0,0,0,0,,TRUE
0,40,0,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,40,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,0,40,,TRUE
40,0,0,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,0,0,40,,TRUE
0,40,0,0,0,,TRUE
0,0,40,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,40,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,0,0,40,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,40,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,40,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,40,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,40,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,0,40,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,40,0,,TRUE
0,0,0,0,40,,TRUE
0,40,0,0,0,,TRUE
0,0,40,0,0,,TRUE
40,0,0,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,40,0,0,,TRUE
0,0,0,40,0,,TRUE
0,40,0,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,0,0,40,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,40,0,,TRUE
0,0,40,0,0,,TRUE
0,40,0,0,0,,TRUE
0,0,40,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,40,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,0,0,40,0,,TRUE
0,40,0,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,40,0,0,,TRUE
40,0,0,0,0,,TRUE
0,0,40,0,0,,TRUE
0,0,0,0,40,,TRUE
0,40,0,0,0,,TRUE
0,0,0,0,40,,TRUE
0,40,0,0,0,,TRUE
0,0,0,40,0,,TRUE
40,0,0,0,0,,TRUE
0,0,0,40,0,,TRUE
0,0,40,0,0,,TRUE
40,0,0,0,0,,TRUE
